query	positive	negative
rhododendrons	Greenview 4 lb. 12-6-6 Azalea, Camellia and Rhododendron Plant Food$Now there's a smarter way to give your azaleas, camellias and rhododendrons the nutrition they need with a unique fertilizer blend of conventional and organic fertilizer sources. GreenSmart sets the stage for exceptional performance, by providing nutrients your plants need to thrive. GreenSmart gives your plants the quick boost you expect from a fertilizer, yet sets them up for long-term vitality by including a slow release nitrogen component from organic sources.Specially formulated with iron and manganese to improve soil acidity which is important for azalea, camellia and rhodendron plantsDust-free, uniform grade - essential nutrients in every granule, for heartier plantsFeeds up to 12 weeksSatisfaction guaranteed when used as directed or your money back$Specially formulated with iron and manganese to improve soil acidity which is important for azalea, camellia and rhodendron plants#Dust-free, uniform grade – essential nutrients in every granule, for heartier plants#Feeds up to 12 weeks#Satisfaction guaranteed when used as directed or your money back#Dry Plant Fertilizer#12#Greenview#No#No#4 lbs#Flowers#No#4.25#14.12#5.5#All-season#Slow release#No#Yes	Martha Stewart Living Rhododendron Leaf Spool and Bobbin Storage$Expertly made and perfectly finished in your choice of colors, the Martha Stewart Living Craft Space Spool and Bobbin Storage unit is a sewer's dream. The piece holds all of your spools of thread and can be placed within reaching distance of your sewing machine. Designed with the hobbyist in mind. order now.Includes 4 rows of bobbin storageGroup with a martha stewart living craft space table for an optimized work areaMdf/poplar13 in. H x 33 in. W x 2.5 in. D$
red duct tape	3M Scotch 1 in. x 12.5 yds. Indoor / Outdoor Mounting Tape$Scotch Outdoor Mounting Tape is weather resistant double sided conformable tape. This tape can be used on a variety of surfaces such as painted cement or brick, glass, metal, tile, ceramic, and more. Scotch Outdoor Mounting Tape is better, faster, safer, and more versatile than screws and nails. This tape can also be used to mount objects outside on exterior walls, fences, and posts. Scotch Outdoor Mounting Tape comes in various sizes.Ideal for: cement or brick, glass, metal, tile, ceramic, and moreVery high bond (VHB Tape)Holds up to 15 lbs.Color: redUse instead of nails or screwsAll weather resistantNumber of rolls included: 1Great for DIYNote: product may vary by store$High#Ideal for: cement or brick, glass, metal, tile, ceramic, and more#Very high bond (VHB Tape)#Holds up to 15 lbs.#Color: red#Use instead of nails or screws#All weather resistant#Number of rolls included: 1#Great for DIY#Note: product may vary by store#Reds / Pinks#1#Indoor/Outdoor#105#3M#50#Yes#1#1#Double Sided Tape#1#5.5#1#Brick,Ceramic,Glass,Metal,Painted cement,Tile#37.5#1#No	ShurTech 1.88 in. x 45 yds. Funky Flamingo Duct Tape$Available in a vibrant assortment of colors, Duct Tape brand duct tape is the simple solution for your toughest or most creative craft and DIY projects. Use Color Duct Tape to coordinate and match your latest fix around the house. Decorate and customize your space or even make a colorful Duct Tape wallet or rose. With the same trusted quality and durability as original silver duct tape, you can even use it for heavy-duty outdoor use, gardening, bundling, labeling and color-coding.Made with heavy-duty cotton mesh for high performance strengthWorks on a variety of surfaces, including wood, vinyl, plastic, leather, metal and laminateTears easily by hand for simple applicationConforms to uneven surfaces$
upholstery washing machines with steam	Whirlpool Duet 4.5 cu. ft. High-Efficiency Front Load Washer with Steam in Diamond Steel, ENERGY STAR$Keep clothes looking newer longer without the extra steps with the 4.5 cu. ft. Whirlpool Duet front load washer. You'll be able to wash and dry a small load right in the washer thanks to the FanFresh option with Dynamic Venting Technology. You can even use less energy with the EcoBoost option and still get great cleaning performance with this steam washing machine. And to break down those stubborn grass and dirt stains, choose the Steam Clean option available on this front load washer. Plus, you can buy with confidence knowing this washer is designed, engineered and assembled in the USA.California residents: see&nbsp;Proposition 65 informationMassive 4.5 cu. ft. capacity to handle larger loads so you can finish laundry fasterSmooth Wave stainless steel wash basket gently guides clothes through the wash cycle and helps protect fabrics from fraying and snagsNSF Certified Allergen and Sanitize cycles remove 99.9% of certain household bacteriaAdaptive Wash technology senses the needs of each load and adapts wash actions so your clothes always look their best and colors stay vibrant wash after wash12 automatic cycles including Normal (cotton), Whites, Heavy Duty, Towels, Allergen, Sanitize, Clean Washer with afresh, Drain & Spin, Wash & Dry, Quick Wash, Delicates and Cold Wash provide optimal cleaning for a variety of fabricsENERGY STAR qualified with a CEE Tier II rating: this washer is among the most efficient washers in the industryFront panel controls with a Tap Touch interface, cycle indicator lights, Eco Monitor and Estimated Time Remaining provide convenient access to all cycle and option selections. Plus, this dryer even remembers your last cycle and settingsAdjustable soil, wash temperature and spin speed settings allow you to customize wash cycles to provide the exceptional fabric careAutomatic water level sensors regulate the amount of water based on the size of the load. Only the amount needed to clean is used, increasing efficiency and helping the environmentDelay Wash option allows you to set the washer to begin cleaning up to 12 hours later, during off-peak hours when utility rates may be lower, or when unloading the washer may be more convenientLaundry pedestal, XHPC155YU, enhances ease of use; stacking kit, W10298318RP, provides increased installation choices (sold separately)The Quiet Wash Ultra noise reduction system keeps operational sounds inside the washer and out of living areasThe Presoak option adds extra time for soaking before the wash cycle starts to help break down even the toughest stainsBuilt with American pride and designed, engineered and assembled in the USAWasher requires use of high-efficiency detergentThe Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkoutClick Here for details on the services included with Delivery & Basic Hook-up and Installation options for Major Appliances$15#Whirlpool Duet#Front Load Washer#Massive 4.5 cu. ft. capacity to handle larger loads so you can finish laundry faster#Smooth Wave stainless steel wash basket gently guides clothes through the wash cycle and helps protect fabrics from fraying and snags#NSF Certified Allergen and Sanitize cycles remove 99.9% of certain household bacteria#Adaptive Wash technology senses the needs of each load and adapts wash actions so your clothes always look their best and colors stay vibrant wash after wash#12 automatic cycles including Normal (cotton), Whites, Heavy Duty, Towels, Allergen, Sanitize, Clean Washer with afresh, Drain & Spin, Wash & Dry, Quick Wash, Delicates and Cold Wash provide optimal cleaning for a variety of fabrics#ENERGY STAR qualified with a CEE Tier II rating: this washer is among the most efficient washers in the industry#Front panel controls with a Tap Touch interface, cycle indicator lights, Eco Monitor and Estimated Time Remaining provide convenient access to all cycle and option selections. Plus, this dryer even remembers your last cycle and settings#Adjustable soil, wash temperature and spin speed settings allow you to customize wash cycles to provide the exceptional fabric care#Automatic water level sensors regulate the amount of water based on the size of the load. Only the amount needed to clean is used, increasing efficiency and helping the environment#Delay Wash option allows you to set the washer to begin cleaning up to 12 hours later, during off-peak hours when utility rates may be lower, or when unloading the washer may be more convenient#Laundry pedestal, XHPC155YU, enhances ease of use; stacking kit, W10298318RP, provides increased installation choices (sold separately)#The Quiet Wash Ultra noise reduction system keeps operational sounds inside the washer and out of living areas#The Presoak option adds extra time for soaking before the wash cycle starts to help break down even the toughest stains#Built with American pride and designed, engineered and assembled in the USA#Washer requires use of high-efficiency detergent#The Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkout#4.5#4.5#1-UL Listed,ADA Compliant#Diamond Steel#Stainless Look#Touch#Yes#52.75#19.5#19.5#Left Swing#145#Tier II#Yes#15#Yes#Yes#No Additional Items Included#1400#Whirlpool#2#1#12#5#4#XHPC155YU#33.31#38.75#244#27#Yes#W10298318RP#Yes#120#Allergen,Clean Washer,Cotton,Delicates,Heavy Duty,Sanitation,Speed Wash,Whites#Bleach,Fabric Softener,Prewash Detergent#Built-in Water Heater,Control Lockout,Cycle Time Remaining Display,Delay Start,Door Window,End-Of-Cycle Signal,Front Control,Out-of-Balance Detection,Steam Function#No#Stainless Steel	Samsung 4.5 cu. ft. High-Efficiency Front Load Washer with Steam in Onyx, ENERGY STAR$The Samsung 4.5 cu. ft. High-Efficiency Front Load Washer is ENERGY STAR/CEE Tier 3-rated. PowerFoam technology uses an innovative mixture of water, air and detergent to penetrate deep into the heart of fabric to clean even your bulkiest items, such as a king size comforter. It offers flexibility with 13 cycles and a delay start feature for the utmost convenience.4.5 cu. ft. DOE stainless steel basket handles bigger loads to let you enjoy more time in the living room instead of the laundry roomStainless steel tub won't rust or snag clothingSteam for stains option is available with the allergen cycle and uses a combination of water temperature and steam to provide the optimal environment for detergent enzymes to work on removing organic stainsFeature 13 wash cycles, including permanent press, casuals and cottons, to ensure your expensive fabrics get the special attention they deserveENERGY STAR-qualified and CEE Tier 3-ratedElectronic controls provide easy 1-touch operation and cycle display timePreset cycles allow you to customize your soil and spin levels to provide ideal wash settings for the best resultsAutomatic water level adjustment reduces wasteDelay start feature begins operation when it's most convenient for your scheduleStackable design provides an all-in-1 vertical look to  maximize floor spacePedestal shown in product image is not included with purchase and is offered separately during appliance checkoutCan only be used with high-efficiency detergent, typically two tablespoons per loadPlease note: The Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkout.Click here for details on the services included with Delivery & Basic Hook-up and Installation options for Major Appliances$15#Front Load Washer#4.5 cu. ft. DOE stainless steel basket handles bigger loads to let you enjoy more time in the living room instead of the laundry room#Stainless steel tub won’t rust or snag clothing#Steam for stains option is available with the allergen cycle and uses a combination of water temperature and steam to provide the optimal environment for detergent enzymes to work on removing organic stains#Feature 13 wash cycles, including permanent press, casuals and cottons, to ensure your expensive fabrics get the special attention they deserve#ENERGY STAR-qualified and CEE Tier 3-rated#Electronic controls provide easy 1-touch operation and cycle display time#Preset cycles allow you to customize your soil and spin levels to provide ideal wash settings for the best results#Automatic water level adjustment reduces waste#Delay start feature begins operation when it’s most convenient for your schedule#Stackable design provides an all-in-1 vertical look to  maximize floor space#Pedestal shown in product image is not included with purchase and is offered separately during appliance checkout#Can only be used with high-efficiency detergent, typically two tablespoons per load#Please note: The Home Depot will not hook up your washer with used fill hoses; new fill hoses will be offered during appliance checkout.#4.5#4.5#1-UL Listed,CSA Certified,NSF Listed#Onyx#Gray#Electronic#Yes#52.5#11.75#22#Left Swing#90#Tier III#Yes#Yes#Yes#Hoses,Power Cord#1300#Samsung#2#5#13#4#5#WE357A0C#34#38.7#231.3#27#Yes#SK-5A#Yes#60#Allergen,Extra Rinse,Heavy Duty,Permanent Press,Prewash,Sanitation,Speed Wash,Wool#Bleach,Fabric Softener,Prewash Detergent#Built-in Water Heater,Control Lockout,Cycle Time Remaining Display,Delay Start,Door Window,End-Of-Cycle Signal,Front Control,Interior Light,Out-of-Balance Detection,Steam Function#Yes#Stainless Steel
sheet vinyl  floor	HDX 10 ft. Wide Castle Travertine Vinyl Universal Flooring Your Choice Length$The HDX Universal Flooring is manufactured from tough, specially formulated polyvinyl that is resistant to most contaminants commonly found in garage and work environments. It helps prevent concrete deterioration, hides cracks and stains, prevents staining on newer floors and creates a moisture barrier. HDX flooring is 100% high quality polyvinyl, not layered with filler material that can crack, split, peel and deteriorate. Perfect DIY flooring, just roll the product out onto your designated area and enjoy or for a glue option use an acrylic base vinyl adhesive such as Roberts 2310 or 2315 or tape edges with an acrylic based double sided tape such as Roberts MaxGrip. The HDX flooring can be trimmed to a perfect fit using a utility knife. This product is 10 ft. wide and you order as many feet long as you need for a custom fit with no waste, up to 44 ft. long. Tough enough to be used in the garage, attractive enough to be used everywhere; basements, laundry rooms, decks, trailers, vehicles, boats, schools, stores, workshops, warehouses, exercise rooms; offices and equipment rooms, anywhere you need attractive high quality flooring that protects.California residents: see&nbsp;Proposition 65 informationGet the look of natural tiles with the convenience and ease of roll out flooringCustom length means you order only what you need for your projectPerfect for residential or commercial use, resistant to common chemicals and contaminantsAppropriate grade for installation: Above grade, On grade or Below grade; great for garages, basements, kitchens, bathrooms, offices or anywhereSimply clean with a damp mop or for a deeper clean use a vinyl floor cleanerCan be installed over cement and wood subfloors, with or without adhesiveCustom Order - orders are sold in increments of 1 ft., to order: place order and set order quantity to the desired length (ft.) of your mat. EXAMPLE: if your order is for 15 ft. you will need to add a quantity of 15 to your cart and you will receive a mat that is 15 ft. in length x 10 ft. widthHigh gloss shineCustom length products are not returnable$Yes#Get the look of natural tiles with the convenience and ease of roll out flooring#Custom length means you order only what you need for your project#Perfect for residential or commercial use, resistant to common chemicals and contaminants#Appropriate grade for installation: Above grade, On grade or Below grade; great for garages, basements, kitchens, bathrooms, offices or anywhere#Simply clean with a damp mop or for a deeper clean use a vinyl floor cleaner#Can be installed over cement and wood subfloors, with or without adhesive#Custom Order - orders are sold in increments of 1 ft., to order: place order and set order quantity to the desired length (ft.) of your mat. EXAMPLE: if your order is for 15 ft. you will need to add a quantity of 15 to your cart and you will receive a mat that is 15 ft. in length x 10 ft. width#High gloss shine#Custom length products are not returnable#Custom#Natural tile#Commercial / Residential#Yes#Vinyl Sheet#Indoor/Outdoor#No#Yes#Vinyl#HDX#na#na#1.79#6.25#120#Yes#10#Yes#Yes#Embossed#Yes	Armstrong Royelle Sheffley Black and White Vinyl Plank Flooring - 6 in. x 9 in. Take Home Sample$Designed for installation with a premium, multi-purpose sheet-flooring adhesive, the Armstrong Royelle Sheet Vinyl is suitable for use over many subfloor surfaces. The high-gloss vinyl sheet features a no-wax wear layer that is easy to clean and is recommended for use in interior residential applications.Diamond design with black and white color, gray grout lines and a high-gloss finish complements many home interiorsEach sample is 6 in. width and 9 in. lengthInstall with a multi-purpose, sheet-flooring adhesiveOccasional damp mopping keeps the flooring looking its bestVinyl samples are not returnable$No#Diamond design with black and white color, gray grout lines and a high-gloss finish complements many home interiors#Each sample is 6 in. width and 9 in. length#Install with a multi-purpose, sheet-flooring adhesive#Occasional damp mopping keeps the flooring looking its best#Vinyl samples are not returnable#White#Black and White High Gloss#Residential#Vinyl Flooring Sample#Indoor#No#Vinyl#Armstrong#0.05#1#6#Yes#No#No#No#High Gloss#No
4 ft. x 8 ft. plywood	19/32 in. x 4 ft. x 8 ft. Rtd Sheathing Syp$Plywood sheathing is ideal for residential and light construction, and every piece meets the highest grading standards for strength and appearance. It adds proven performance and durability to new homes, room additions and renovations. Plywood sheathing delivers outstanding stiffness, strength and versatility, and is an excellent choice for light frame wall and roof assemblies in weather protected applications.California residents: see&nbsp;Proposition 65 informationStructural sheathing for wall, roof and floor applicationsLong-term durability with resistance to edge swellExcellent fastener holding propertiesVersatile, provides excellent performance in a wide variety of applicationsNote: Product may vary by store.$0.59#47.938#Structural sheathing for wall, roof and floor applications#Long-term durability with resistance to edge swell#Excellent fastener holding properties#Versatile, provides excellent performance in a wide variety of applications#Note: Product may vary by store.#Unbranded#Plywood Sheathing#No#0.578#96#8 ft#19/32 in#19/32 in. x 4 ft. x 8 ft.#4 ft#47.938#Stainable & Paintable#No	Utility Panel (Common: 1/8 In. x 4 Ft. x 8 Ft.; Actual: 0.106 in. x 48 in. x 96 in.)$Genuine hardwood plywood can be painted or stained.  This product is perfect for woodworking projects and cabinet making.California residents: see&nbsp;Proposition 65 informationMillstead - A Home Depot exclusive.  Discover the distinctive difference. You can see for yourself that Millstead lumber is of the highest quality. Every piece meets the highest grading standards for strength and appearanceHardwood plywood delivers durable beauty in wall paneling, cabinets, bureaus, tables, chairs, hobbies and many other productsIt has an excellent appearance when stained or paintedGreat for high quality projects like outdoor furniture as long as it is properly painted or stainedNote: Product may vary by store.$.1063#48#Millstead - A Home Depot exclusive.  Discover the distinctive difference. You can see for yourself that Millstead lumber is of the highest quality. Every piece meets the highest grading standards for strength and appearance#Hardwood plywood delivers durable beauty in wall paneling, cabinets, bureaus, tables, chairs, hobbies and many other products#It has an excellent appearance when stained or painted#Great for high quality projects like outdoor furniture as long as it is properly painted or stained#Note: Product may vary by store.#Unbranded#Hardwood Plywood#No#96#0.106#8 ft#1/8 in#1/8 in. x 4 ft. x 8 ft.#4#48#Stainable & Paintable#No
kitchen ceiling lightening	Lithonia Lighting Artisten 2-Light Bronze Fluorescent Ceiling Light$The Lithonia Lighting Artisten 2-Light Ceiling Fluorescent Light has a linear design with a white, acrylic diffuser and decorative, antique-bronze end caps. This light uses two 32-Watt T8 straight tube bulbs (not included) and is Energy Star qualified. This fixture is ideal for use in kitchens, offices and all rooms in the house.Energy Star qualified to meet or exceed federal guidelines for energy efficiency for year-round energy and money savingsWhite acrylic diffuser with antique-bronze end capsUses two 32-Watt T8 straight tube bulbs (not included)UL listedEasy installationHome Depot Protection Plan:$No#Fluorescent,No Bulbs Included#Energy Star qualified to meet or exceed federal guidelines for energy efficiency for year-round energy and money savings#White acrylic diffuser with antique-bronze end caps#Uses two 32-Watt T8 straight tube bulbs (not included)#UL listed#Easy installation#1-UL Listed#Yes#Bronze#Bronze#Yes#0#Lithonia Lighting#2#4#52#10 lb#10#White#Acrylic#Rectangle	"Lithonia Lighting 1-1/2 ft. x 4 ft. Dropped White Acrylic Diffuser$Dropped acrylic diffuser to be inserted in the Cambridge or Dentil linear fixtures. ""Lift and shift"" diffuser for easy, tool-free re-lamping and replacement. It distributes light evenly for general illumination.Diffuser only1-1/2 ft. x 4 ft.White drop diffuser is easily removed for cleaning and re-lampingAcrylic construction$No#No#Diffuser only#1-1/2 ft. x 4 ft.#White drop diffuser is easily removed for cleaning and re-lamping#Acrylic construction#No Certifications or Listings#Diffuser#White#No#White Acrylic#White#No#Hardwired#Other#Fluorescent#Acrylic#Lithonia Lighting#Flush Mount#1#0#51#3.3#4.5#18.3#T#White#18#Acrylic#Diffuser#Rectangle#0"
cover up mildew	Duck Covers Defender Hatchback Semi-Custom Car Cover Fits up to 13 ft. 5 in.$Fits Hatchbacks up to 13 ft. 5 in. Excellent indoor protection for your Hatchback. Duck Covers Defender semi-custom covers are a single layer, UV treated and fully breathable cover perfect for indoor storage and occasional outdoor use. Protects car from dust, debris and scratches. Elasticized bottom hem for a secure, custom fit vehicle cover. Non-scratch tie-down grommets and rope.Light gray color with light blue racing stripeIncludes free storage bagSoft fabric won't scratch paint surface2 year limited warranty$Light gray color with light blue racing stripe#Includes free storage bag#Soft fabric won't scratch paint surface#2 year limited warranty#Gray#Grays#Other#Yes#Duck Covers#Yes#59#51#59#3#161#Yes#Yes#Car	Hubbell TayMac Masque 5000 Decorator Receptacle Cover-Up ÛÒ White (10-Pack)$TayMac Masque 5000 Series Adapter Plates are for use with Masque 5000 series wall plates. The cover-up plates can be easily painted, faux finished or wallpapered to match the walls. The Masque wall plates and cover-up plates hide outdated or discolored outlets.PlasticWhite textured finishDecorator outlet cover-upIncludes applicable screws in matching finish$Insert#.07 in#2.61 in#1.29 in#Plastic#White textured finish#Decorator outlet cover-up#Includes applicable screws in matching finish#1-UL Listed#White#White#Wall Plate Accessory#Hubbell TayMac#.07#2.61#1.29#Blank Insert
contact paoer	ClosetMaid 12 in. x 120 in. White Vinyl Shelf Liner$This sleek White Vinyl Shelf Liner from ClosetMaid conveniently prevents small items from tipping or falling through wire shelving. The smooth surface also prevents clothing from displaying marks from wires. Easy to install with no hardware needed, the liner includes special locking tabs that provide a secure fit to the shelf and keep the liner from sliding or shifting.Covers up to 10 ft. of shelvingNo hardware needed to install; simply trim with scissors to desired lengthWhite vinyl material is durable and blends with any decorDesigned to prevent small items from falling through wire shelving and to eliminate wire marks on clothingFits ClosetMaid SuperSlide and shelf and rod ventilated wire shelvingEasy to clean$No#Covers up to 10 ft. of shelving#No hardware needed to install; simply trim with scissors to desired length#White vinyl material is durable and blends with any decor#Designed to prevent small items from falling through wire shelving and to eliminate wire marks on clothing#Fits ClosetMaid SuperSlide and shelf and rod ventilated wire shelving#Easy to clean#White#White#Kitchen Accessory#ClosetMaid#12#.005#120#120	Sandusky 18 in. W x 0.25 in. H x 72 in. D Frosted Clear Plastic Shelf Liner for Wire Shelving$Sandusky plastic shelf liners ensure products don't fall through the cracks. Liners fit perfectly around wire rack poles. Perfect for when you need to store smaller items on your Sandusky wire shelving.Easy to clean and set-upFrosted clear colorKeeps smaller items from slipping through wire shelvesEasy spill cleanupFits 18 in. x 72 in. Sandusky shelving$72 in#0.25 in#18 in#Easy to clean and set-up#Frosted clear color#Keeps smaller items from slipping through wire shelves#Easy spill cleanup#Fits 18 in. x 72 in. Sandusky shelving#Off-White#Frosted Clear#General purpose#Plastic#Sandusky#Shelves
stove adopter	DuraVent DuraBlack 6 in. x 4 in. Single-Wall Double-Skirted Chimney Stove Pipe Adapter$Durably crafted with 24-gauge steel, the DuraBlack Single-Wall Double-Skirted Chimney Stove Pipe Adapter completes your venting system when used with one of DuraVent's chimney products such as DuraTech, DuraPlus or DuraPlus HTC. This adapter works with wood-burning stoves to adapt a DuraBlack stove pipe to the stove's flue outlet. Offering an economical, drip-free, single-wall stove pipe solution, the DuraBlack system is constructed with die-formed end fittings and features adjustable lengths that eliminate the need for cutting and crimping.California residents: see&nbsp;Proposition 65 information24-gauge frame offers lasting durabilityDesigned to adapt a DuraBlack stove pipe to your stove's flue outletProvides reliable, drip-free operationCompatible with most wood stovesDuraBlack offers a limited lifetime warranty$Pipe#24-gauge frame offers lasting durability#Designed to adapt a DuraBlack stove pipe to your stove's flue outlet#Provides reliable, drip-free operation#Compatible with most wood stoves#DuraBlack offers a limited lifetime warranty#Non-adjustable#24#DuraVent#Adapter#6#4#1.1#6#Wood#Single	TL-WA850RE N300 Universal Wi-Fi Range Extender$TP-LINK's TL-WA850RE is designed to conveniently extend the coverage and improve the signal strength of an existing wireless network to eliminate dead zones. With 300Mbps wireless N speeds, Range Extender button, miniature size and wall mounting design, extending a wireless network has never been easier. What's more, its Ethernet port allows the TL-WA850RE to act as a wireless adapter to turn a wired device into a wireless one.Range extender mode boosts wireless signal to previously unreachable or hard-to-wire areas flawlesslyMiniature size and wall-mounted design make it easy to deploy and move flexiblyEasily expand wireless coverage at a push of the range extender buttonSmart signal indicator light helps to find the right location to place the range extenderEthernet port allows the extender to function as a wireless adapter to connect wired devices300Mbps wireless data rates ideal for video streaming, online gaming and internet callingSupports domain name-based login (http://tplinkextender.net) for advanced managementCompatible with other 802.11n/g/b wireless devicesAdvanced 64/128/152-bit WEP, WPA-PSK / WPA2-PSK encryptions protect a network from security threatsHome Depot Protection Plan:$Range extender mode boosts wireless signal to previously unreachable or hard-to-wire areas flawlessly#Miniature size and wall-mounted design make it easy to deploy and move flexibly#Easily expand wireless coverage at a push of the range extender button#Smart signal indicator light helps to find the right location to place the range extender#Ethernet port allows the extender to function as a wireless adapter to connect wired devices#300Mbps wireless data rates ideal for video streaming, online gaming and internet calling#Compatible with other 802.11n/g/b wireless devices#Advanced 64/128/152-bit WEP, WPA-PSK / WPA2-PSK encryptions protect a network from security threats#No additional items included#300#Unbranded#2.6#3#4.3#Wireless N
paint markers burgondy color	Sharpie Assorted Colors Fine Point Marker (3-Pack)$Incredibly versatile and easy to use, the Sharpie Fine Point has an endless amount of applications. Try using it on plastic storage bins to label and organize tools, camping equipment, seasonal clothing and other garage-cluttering items. It's also great for initializing the tags on kids' clothing and backpacks. In the office, these markers can be used to label plastic lunch containers, mark file cabinet keys or create folder labels that don't smudge after excessive handling. On a job site, these Sharpies can also help mark materials for various projects so they stay organized and in the proper place.1 each black, blue and redPermanent on most hard-to-mark surfacesQuick-drying ink is waterproofAP certified non-toxic formulaSubject to or will include a paint care recycling fee in the following states: CA, CT, OR, RI, VTQuick-drying ink is smear proof and fade-resistant$Specialty#1 each black, blue and red#Permanent on most hard-to-mark surfaces#Quick-drying ink is waterproof#AP certified non-toxic formula#Subject to or will include a paint care recycling fee in the following states: CA, CT, OR, RI, VT#Quick-drying ink is smear proof and fade-resistant#Writing Utensil#Assorted Colors#Sharpie#Permanent Markers#Applicator/Tool#3#Office Supplies	Sharpie Assorted Colors Extra Fine Point Water-Based Paint Marker (5-Pack)$Sharpie's water-based paint markers are easy-to-use and make steady, precise detail and line work possible with no visible brush strokes. They contain vibrant opaque paint that stands out against colored backgrounds. Its water- and fade-resistant paint will not bleed through heavyweight paper.Pink, Blue, Peach, Aqua, LavenderGreat for scrap booking, art projects, posters, signs and moreAP Certified non-toxicAcid free for archival useSafe for use by children$Specialty#Pink, Blue, Peach, Aqua, Lavender#Great for scrap booking, art projects, posters, signs and more#AP Certified non-toxic#Acid free for archival use#Safe for use by children#Sharpie#5#Paint Pens and Markers#0.7#7.63#0.15#3.75
garde	Fan Essentials 1 ft. x 1-1/2 ft. Arizona State University 2-Sided Garden Flag$This officially licensed Fan Essentials NCAA 18 in. x 12.5 in. sleeve style Garden Flag helps show your school pride. The decorative flag is protected against UV radiation for outdoor durability. Flag is designed to be viewed from either side for more versatility in placement.Heavy-duty nylon construction helps resist the wear and tear from frequent use2-sided applique stitching on flag provides viewing from either directionDouble stitching on sleeve to provide lasting strengthWide sleeve slips easily onto flag standUV-resistant flag to show your true colors all season long$	Fan Essentials 1 ft. x 1-1/2 ft. University of Texas 2-Sided Garden Flag$This officially licensed Fan Essentials NCAA 18 in. x 12.5 in. sleeve style Garden Flag helps show your school pride. The decorative flag is protected against UV radiation for outdoor durability. Flag is designed to be viewed from either side for more versatility in placement.Heavy-duty nylon construction helps resist the wear and tear from frequent use2-sided applique stitching on flag provides viewing from either directionDouble stitching on sleeve to provide lasting strengthWide sleeve slips easily onto flag standUV-resistant flag to show your true colors all season long$
outside faucet freeze	1 ft. Bury Depth Hydrant$The frost proof yard hydrant has a shut-off valve which operates below the frost line to supply running water, even in the coldest weather. Leak proof seal, rod, plunger, seat and linkage can be easily replaced without digging. This hydrant has a strong, 1 in. corrosion-resistant stand-pipe.This yard hydrant complies with federal lead lawsCast brass construction, brass clevis rodSelf draining when handle is in closed position to prevent freezingMaximum operating pressure is 80 psiTotal length of hydrant: 39 in.A bolt or padlock in the handle loop stops water loss from vandals and livestock$This yard hydrant complies with federal lead laws#Cast brass construction, brass clevis rod#Self draining when handle is in closed position to prevent freezing#Maximum operating pressure is 80 psi#Total length of hydrant: 39 in.#A bolt or padlock in the handle loop stops water loss from vandals and livestock#Metallics#Yard Hydrant#Unbranded#2.25#39#9	1/2 in. x 10 in. Brass Anti-Siphon Frost Free Sillcock Valve with Push-Fit Connections$The GripWerks Anti-Siphon Frost Free Sillcock now comes with integral Push fit connectors for easy installation. GripWerks is the Push-Fit connection system that really taking hold. It's the easiest way to join copper, CPVC or PEX pipe in any combination with no soldering, clamps, unions or glue. Just insert the pipe and the stainless steel teeth bite down and grip tight, while a specially formulated O-ring compresses to create a perfect seal. The GripWerks Anti-Siphon Frost Free Sillcock is composed of highly forged brass.Instant push-fit connection for increased ease of useConnects to copper, PEX, or CPVC in any combinationBuilt-in vacuum breaker eliminates back flow of waterValve assemble to strict quality standards$Instant push-fit connection for increased ease of use#Connects to copper, PEX, or CPVC in any combination#Built-in vacuum breaker eliminates back flow of water#Valve assemble to strict quality standards#Copper#Mechanical#Indoor,Outdoor#Brass#125#125#Homewerks Worldwide#10#1#10#1.48#1#125 psi#.5#.75
